metro_id,metro_name_std,province,statcan_reference_year,cmhc_rent_year,cmhc_vacancy_year,cmhc_rent_growth_year,rent_to_income,rent_growth_yoy,vacancy_rate,vacancy_stress,rent_to_income_scaled,rent_growth_yoy_scaled,vacancy_rate_scaled,vacancy_stress_scaled,asi_score,asi_components_used,asi_score_pc1,asi_weighting
3932,Abbotsford-Mission,British Columbia,2012,2025,2025,2025,,5.3,2.8,-2.8,,0.1467889908256879,-0.30000000000000027,0.30000000000000027,0.223394,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3568,Barrie,Ontario,2012,2025,2025,2025,,4.3,4.3,-4.3,,-0.22018348623853234,1.1999999999999997,-1.1999999999999997,-0.710092,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3522,Belleville-Quinte West,Ontario,2012,2025,2025,2025,,,3.4,-3.4,,,0.2999999999999998,-0.2999999999999998,-0.300000,1,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3543,Brantford,Ontario,2012,2025,2025,2025,,,3.5,-3.5,,,0.3999999999999999,-0.3999999999999999,-0.400000,1,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3825,Calgary,Alberta,2012,2025,2025,2025,0.31592847317744155,,5.0,-5.0,-0.31995869791253234,,1.9,-1.9,-1.109979,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3930,Chilliwack,British Columbia,2012,2025,2025,2025,,,3.0,-3.0,,,-0.10000000000000009,0.10000000000000009,0.100000,1,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3447,Drummondville,Quebec,2012,2025,2025,2025,,,1.8,-1.8,,,-1.3,1.3,1.300000,1,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3835,Edmonton,Alberta,2012,2025,2025,2025,0.2775757575757576,3.5,3.8,-3.8,-0.7845547891631593,-0.5137614678899085,0.6999999999999997,-0.6999999999999997,-0.666105,3,0.434255,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3320,Fredericton,New Brunswick,2012,2025,2025,2025,,5.2,2.5,-2.5,,0.110091743119266,-0.6000000000000001,0.6000000000000001,0.355046,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3580,Greater Sudbury,Ontario,2012,2025,2025,2025,,,1.2,-1.2,,,-1.9000000000000001,1.9000000000000001,1.900000,1,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3550,Guelph,Ontario,2012,2025,2025,2025,,4.6,3.1,-3.1,,-0.11009174311926632,0.0,0.0,-0.055046,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3205,Halifax,Nova Scotia,2012,2025,2025,2025,0.44627291242362527,6.7,2.7,-2.7,1.2590042526894027,0.6605504587155964,-0.3999999999999999,0.3999999999999999,0.773185,3,-0.124070,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3537,Hamilton,Ontario,2012,2025,2025,2025,0.3542245989304813,1.6,3.6,-3.6,0.1439518767567497,-1.211009174311927,0.5,-0.5,-0.522352,3,-0.537776,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3925,Kamloops,British Columbia,2012,2025,2025,2025,,,1.2,-1.2,,,-1.9000000000000001,1.9000000000000001,1.900000,1,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3915,Kelowna,British Columbia,2012,2025,2025,2025,,2.4,6.4,-6.4,,-0.9174311926605507,3.3000000000000003,-3.3000000000000003,-2.108716,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3521,Kingston,Ontario,2012,2025,2025,2025,,2.4,2.4,-2.4,,-0.9174311926605507,-0.7000000000000002,0.7000000000000002,-0.108716,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3541,Kitchener-Cambridge-Waterloo,Ontario,2012,2025,2025,2025,0.3939784946236559,3.3,4.1,-4.1,0.6255215455867481,-0.5871559633027525,0.9999999999999996,-0.9999999999999996,-0.320545,3,-0.765705,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3810,Lethbridge,Alberta,2012,2025,2025,2025,,6.7,4.5,-4.5,,0.6605504587155964,1.4,-1.4,-0.369725,2,,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
3555,London,Ontario,2012,2025,2025,2025,0.4728400954653938,4.1,4.0,-4.0,1.5808330776658446,-0.29357798165137644,0.8999999999999999,-0.8999999999999999,0.129085,3,-1.300483,rent_to_income_scaled=0.333;rent_growth_yoy_scaled=0.333;vacancy_stress_scaled=0.333
