metro_id,metro_name_std,metro_slug,province,province_slug,dguid_2021,boundary_year
3932,Abbotsford-Mission,abbotsford_mission,British Columbia,british_columbia,2021S0503932,2021
3568,Barrie,barrie,Ontario,ontario,2021S0503568,2021
3522,Belleville-Quinte West,belleville_quinte_west,Ontario,ontario,2021S0503522,2021
3543,Brantford,brantford,Ontario,ontario,2021S0503543,2021
3825,Calgary,calgary,Alberta,alberta,2021S0503825,2021
3930,Chilliwack,chilliwack,British Columbia,british_columbia,2021S0503930,2021
3447,Drummondville,drummondville,Quebec,quebec,2021S0503447,2021
3835,Edmonton,edmonton,Alberta,alberta,2021S0503835,2021
3320,Fredericton,fredericton,New Brunswick,new_brunswick,2021S0503320,2021
3580,Greater Sudbury,greater_sudbury,Ontario,ontario,2021S0503580,2021
3550,Guelph,guelph,Ontario,ontario,2021S0503550,2021
3205,Halifax,halifax,Nova Scotia,nova_scotia,2021S0503205,2021
3537,Hamilton,hamilton,Ontario,ontario,2021S0503537,2021
3925,Kamloops,kamloops,British Columbia,british_columbia,2021S0503925,2021
3915,Kelowna,kelowna,British Columbia,british_columbia,2021S0503915,2021
3521,Kingston,kingston,Ontario,ontario,2021S0503521,2021
3541,Kitchener-Cambridge-Waterloo,kitchener_cambridge_waterloo,Ontario,ontario,2021S0503541,2021
3810,Lethbridge,lethbridge,Alberta,alberta,2021S0503810,2021
3555,London,london,Ontario,ontario,2021S0503555,2021
3305,Moncton,moncton,New Brunswick,new_brunswick,2021S0503305,2021
3462,Montréal,montreal,Quebec,quebec,2021S0503462,2021
3938,Nanaimo,nanaimo,British Columbia,british_columbia,2021S0503938,2021
3532,Oshawa,oshawa,Ontario,ontario,2021S0503532,2021
3505,Ottawa-Gatineau,ottawa_gatineau,Ontario/Quebec,ontario_quebec,2021S0503505,2021
3529,Peterborough,peterborough,Ontario,ontario,2021S0503529,2021
3421,Québec,quebec,Quebec,quebec,2021S0503421,2021
3830,Red Deer,red_deer,Alberta,alberta,2021S0503830,2021
3705,Regina,regina,Saskatchewan,saskatchewan,2021S0503705,2021
3408,Saguenay,saguenay,Quebec,quebec,2021S0503408,2021
3310,Saint John,saint_john,New Brunswick,new_brunswick,2021S0503310,2021
3725,Saskatoon,saskatoon,Saskatchewan,saskatchewan,2021S0503725,2021
3433,Sherbrooke,sherbrooke,Quebec,quebec,2021S0503433,2021
3539,St. Catharines-Niagara,st_catharines_niagara,Ontario,ontario,2021S0503539,2021
3001,St. John's,st_john_s,Newfoundland and Labrador,newfoundland_and_labrador,2021S0503001,2021
3595,Thunder Bay,thunder_bay,Ontario,ontario,2021S0503595,2021
3535,Toronto,toronto,Ontario,ontario,2021S0503535,2021
3442,Trois-Rivières,trois_rivieres,Quebec,quebec,2021S0503442,2021
3933,Vancouver,vancouver,British Columbia,british_columbia,2021S0503933,2021
3935,Victoria,victoria,British Columbia,british_columbia,2021S0503935,2021
3559,Windsor,windsor,Ontario,ontario,2021S0503559,2021
3602,Winnipeg,winnipeg,Manitoba,manitoba,2021S0503602,2021
